Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Linear Regression,1.6432,4.3725,2.0859,0.2975,0.6465,0.6039,0.275,"(2, 16, 17)"
Ridge Regression,1.7478,4.7377,2.173,0.2388,0.6729,0.6383,0.278,"(2, 16, 17)"
Bayesian Ridge,1.7654,4.8079,2.1894,0.2279,0.677,0.6427,0.278,"(2, 16, 17)"
AdaBoost Regressor,1.8459,4.7646,2.1815,0.2345,0.7219,0.7289,0.34,"(2, 16, 17)"
Orthogonal Matching Pursuit,1.8917,5.408,2.322,0.1334,0.7051,0.6956,0.275,"(2, 16, 17)"
Elastic Net,1.9049,5.4323,2.3273,0.1294,0.7081,0.6945,0.266,"(2, 16, 17)"
Lasso Regression,1.9277,5.4942,2.3407,0.1194,0.7137,0.7035,0.275,"(2, 16, 17)"
Lasso Least Angle Regression,1.9277,5.4942,2.3407,0.1194,0.7137,0.7035,0.272,"(2, 16, 17)"
Huber Regressor,1.9852,6.4847,2.5429,-0.0386,0.7145,0.6082,0.279,"(2, 16, 17)"
Dummy Regressor,2.0949,6.2565,2.4989,-0.0033,0.7563,0.7794,0.278,"(2, 16, 17)"
Passive Aggressive Regressor,2.4903,11.1514,3.2121,-0.7348,0.9358,0.9234,0.28,"(2, 16, 17)"
Least Angle Regression,1294439.876,25571930542060.324,1638205.0604,-4218535542932.665,7.0418,645524.7358,0.283,"(2, 16, 17)"
K Neighbors Regressor,0.3096,0.3173,0.5565,0.9432,0.2113,0.1095,0.281,"(3, 4, 5)"
Random Forest Regressor,0.9961,1.9981,1.4094,0.6437,0.4758,0.2915,0.749,"(3, 4, 5)"
Light Gradient Boosting Machine,0.9994,1.9883,1.4059,0.6443,0.4786,0.3099,0.353,"(3, 4, 5)"
Decision Tree Regressor,1.0092,3.3552,1.8207,0.3945,0.5829,0.3296,0.285,"(3, 4, 5)"
Extra Trees Regressor,1.0234,2.0254,1.4167,0.6397,0.4711,0.3087,0.4,"(3, 4, 5)"
Gradient Boosting Regressor,1.2288,2.7217,1.6439,0.5179,0.5391,0.3765,0.581,"(3, 4, 5)"
Linear Regression,1.6903,4.577,2.1341,0.1851,0.6538,0.5612,0.278,"(3, 4, 5)"
AdaBoost Regressor,1.7884,4.6619,2.1558,0.1704,0.6978,0.6606,0.321,"(3, 4, 5)"
Ridge Regression,1.794,4.9142,2.2103,0.1288,0.6787,0.6019,0.278,"(3, 4, 5)"
Bayesian Ridge,1.8264,5.0309,2.2372,0.1072,0.6848,0.6252,0.284,"(3, 4, 5)"
Orthogonal Matching Pursuit,1.9053,5.3781,2.3131,0.0464,0.703,0.6771,0.282,"(3, 4, 5)"
Elastic Net,1.9159,5.4138,2.3214,0.0397,0.7073,0.6826,0.276,"(3, 4, 5)"
Huber Regressor,1.9305,5.7773,2.3975,-0.0237,0.698,0.6223,0.28,"(3, 4, 5)"
Lasso Regression,1.9339,5.5043,2.3413,0.0231,0.7132,0.6913,0.267,"(3, 4, 5)"
Lasso Least Angle Regression,1.9339,5.5043,2.3413,0.0231,0.7132,0.6913,0.274,"(3, 4, 5)"
Dummy Regressor,1.9675,5.6921,2.381,-0.0097,0.7229,0.7077,0.286,"(3, 4, 5)"
Passive Aggressive Regressor,2.4901,10.1247,2.9602,-0.7153,0.8179,1.0005,0.276,"(3, 4, 5)"
Least Angle Regression,1165567.0161,27319023695623.156,1796783.1946,-4724766734889.021,5.5442,479567.2924,0.281,"(3, 4, 5)"
K Neighbors Regressor,0.2691,0.2412,0.4857,0.9539,0.1952,0.1034,0.265,"(3, 4, 6)"
Extra Trees Regressor,0.9124,1.6404,1.2797,0.6888,0.4428,0.2924,0.41,"(3, 4, 6)"
Random Forest Regressor,0.9316,1.7378,1.3171,0.67,0.4552,0.2878,0.865,"(3, 4, 6)"
Light Gradient Boosting Machine,0.9444,1.7264,1.3125,0.6717,0.4546,0.3243,0.356,"(3, 4, 6)"
Decision Tree Regressor,1.057,3.4155,1.8444,0.3503,0.5832,0.389,0.278,"(3, 4, 6)"
Gradient Boosting Regressor,1.1499,2.3497,1.5317,0.5535,0.5211,0.3737,0.612,"(3, 4, 6)"
Linear Regression,1.5296,3.8728,1.9654,0.265,0.6274,0.5297,0.276,"(3, 4, 6)"
Bayesian Ridge,1.6372,4.2316,2.0539,0.1979,0.6479,0.5699,0.279,"(3, 4, 6)"
Ridge Regression,1.6378,4.2337,2.054,0.1978,0.6475,0.5729,0.262,"(3, 4, 6)"
AdaBoost Regressor,1.6934,4.0796,2.0186,0.2257,0.6915,0.6571,0.335,"(3, 4, 6)"
Orthogonal Matching Pursuit,1.8014,4.922,2.2162,0.067,0.693,0.6541,0.274,"(3, 4, 6)"
Elastic Net,1.8174,4.9506,2.223,0.0613,0.6985,0.6574,0.28,"(3, 4, 6)"
Lasso Regression,1.8384,5.0261,2.2402,0.0466,0.706,0.6644,0.278,"(3, 4, 6)"
Lasso Least Angle Regression,1.8384,5.0261,2.2402,0.0466,0.706,0.6644,0.282,"(3, 4, 6)"
Huber Regressor,1.8453,5.4163,2.3255,-0.0277,0.6947,0.5829,0.286,"(3, 4, 6)"
Dummy Regressor,1.919,5.2935,2.2997,-0.005,0.7244,0.705,0.286,"(3, 4, 6)"
Passive Aggressive Regressor,3.0526,13.1189,3.5858,-1.5028,1.038,1.492,0.277,"(3, 4, 6)"
Least Angle Regression,4820.7873,256536631.4277,7109.7836,-52031673.0895,3.7122,2525.423,0.27,"(3, 4, 6)"
K Neighbors Regressor,0.2841,0.2831,0.5252,0.9492,0.1919,0.1071,0.279,"(3, 4, 8)"
Light Gradient Boosting Machine,1.0333,2.107,1.4465,0.6188,0.4904,0.324,0.35,"(3, 4, 8)"
Extra Trees Regressor,1.0458,2.0918,1.4418,0.624,0.4892,0.3196,0.416,"(3, 4, 8)"
Random Forest Regressor,1.0717,2.2367,1.4894,0.5983,0.5008,0.3142,0.862,"(3, 4, 8)"
Gradient Boosting Regressor,1.2417,2.748,1.6533,0.5048,0.5508,0.3773,0.607,"(3, 4, 8)"
Decision Tree Regressor,1.3264,4.9855,2.2227,0.0984,0.6904,0.4858,0.291,"(3, 4, 8)"
Linear Regression,1.6786,4.5139,2.1206,0.1838,0.6614,0.5656,0.277,"(3, 4, 8)"
Ridge Regression,1.7213,4.6845,2.1604,0.1541,0.6763,0.5674,0.278,"(3, 4, 8)"
Bayesian Ridge,1.7374,4.7254,2.1696,0.1478,0.6801,0.5711,0.278,"(3, 4, 8)"
AdaBoost Regressor,1.7984,4.6552,2.154,0.1594,0.7205,0.6598,0.328,"(3, 4, 8)"
Orthogonal Matching Pursuit,1.8415,5.1838,2.2719,0.0676,0.7054,0.622,0.282,"(3, 4, 8)"
Elastic Net,1.8594,5.211,2.2777,0.0632,0.7106,0.6305,0.277,"(3, 4, 8)"
Lasso Regression,1.8834,5.2852,2.2938,0.05,0.7173,0.6427,0.278,"(3, 4, 8)"
Lasso Least Angle Regression,1.8834,5.2852,2.2938,0.05,0.7173,0.6427,0.278,"(3, 4, 8)"
Huber Regressor,1.9316,5.8351,2.4051,-0.0387,0.71,0.6027,0.277,"(3, 4, 8)"
Dummy Regressor,1.9751,5.6989,2.3809,-0.021,0.7385,0.6969,0.273,"(3, 4, 8)"
Passive Aggressive Regressor,2.4829,9.5859,3.0321,-0.7083,0.9651,0.9929,0.272,"(3, 4, 8)"
Least Angle Regression,1551558.8766,39132949329782.31,1985968.3044,-6190680332694.846,5.3716,659790.5016,0.276,"(3, 4, 8)"
K Neighbors Regressor,0.2935,0.3012,0.5456,0.9412,0.2016,0.1055,0.276,"(3, 4, 9)"
Light Gradient Boosting Machine,0.9325,1.7702,1.327,0.6538,0.4507,0.3072,0.359,"(3, 4, 9)"
Random Forest Regressor,0.9512,1.8945,1.3732,0.6316,0.459,0.2805,0.793,"(3, 4, 9)"
Extra Trees Regressor,1.0075,1.9786,1.4041,0.6152,0.4688,0.3156,0.403,"(3, 4, 9)"
Decision Tree Regressor,1.0603,3.791,1.9386,0.2551,0.5921,0.3649,0.272,"(3, 4, 9)"
Gradient Boosting Regressor,1.1491,2.4451,1.5604,0.5239,0.5186,0.3614,0.563,"(3, 4, 9)"
Linear Regression,1.529,3.8083,1.9502,0.2566,0.6176,0.5631,0.272,"(3, 4, 9)"
Ridge Regression,1.6071,4.169,2.0392,0.1888,0.6439,0.5616,0.276,"(3, 4, 9)"
Bayesian Ridge,1.6206,4.2266,2.0531,0.1778,0.6467,0.5676,0.277,"(3, 4, 9)"
AdaBoost Regressor,1.6912,4.1199,2.0275,0.1972,0.6918,0.6481,0.322,"(3, 4, 9)"
Orthogonal Matching Pursuit,1.7539,4.7409,2.1741,0.0784,0.6834,0.6284,0.271,"(3, 4, 9)"
Elastic Net,1.7648,4.7695,2.1808,0.0731,0.6878,0.6268,0.277,"(3, 4, 9)"
Lasso Regression,1.7843,4.8423,2.1975,0.059,0.6948,0.6337,0.279,"(3, 4, 9)"
Lasso Least Angle Regression,1.7843,4.8423,2.1975,0.059,0.6948,0.6337,0.269,"(3, 4, 9)"
Huber Regressor,1.8001,5.2378,2.285,-0.0171,0.6863,0.5688,0.281,"(3, 4, 9)"
Dummy Regressor,1.8876,5.177,2.2723,-0.0059,0.717,0.6978,0.277,"(3, 4, 9)"
Passive Aggressive Regressor,2.4709,10.3995,3.1854,-1.0113,0.9846,0.9812,0.277,"(3, 4, 9)"
Least Angle Regression,21326.4534,7226192836.9553,30785.8677,-1599290429.7377,5.6525,10154.4003,0.283,"(3, 4, 9)"
K Neighbors Regressor,0.29,0.2997,0.5397,0.9496,0.2046,0.1023,0.277,"(3, 4, 10)"
Light Gradient Boosting Machine,1.0438,2.1392,1.4584,0.645,0.4814,0.3337,0.349,"(3, 4, 10)"
Random Forest Regressor,1.0473,2.1724,1.4688,0.6409,0.4878,0.306,0.798,"(3, 4, 10)"
Extra Trees Regressor,1.0651,2.2,1.4793,0.6368,0.4849,0.3155,0.404,"(3, 4, 10)"
Decision Tree Regressor,1.2237,4.4262,2.0842,0.2692,0.6489,0.4437,0.282,"(3, 4, 10)"
Gradient Boosting Regressor,1.2646,2.8182,1.6738,0.5346,0.5493,0.3872,0.568,"(3, 4, 10)"
Linear Regression,1.6562,4.5429,2.1273,0.249,0.653,0.5504,0.273,"(3, 4, 10)"
Ridge Regression,1.7365,4.7971,2.1871,0.2058,0.6707,0.578,0.279,"(3, 4, 10)"
Bayesian Ridge,1.7572,4.8586,2.2012,0.1954,0.6744,0.5911,0.275,"(3, 4, 10)"
AdaBoost Regressor,1.9175,5.0747,2.2504,0.1587,0.7422,0.7391,0.353,"(3, 4, 10)"
Orthogonal Matching Pursuit,1.9311,5.544,2.3507,0.0837,0.7151,0.6795,0.273,"(3, 4, 10)"
Elastic Net,1.9516,5.5738,2.3569,0.0792,0.7206,0.6844,0.283,"(3, 4, 10)"
Lasso Regression,1.977,5.6484,2.3726,0.0671,0.728,0.6961,0.284,"(3, 4, 10)"
Lasso Least Angle Regression,1.977,5.6484,2.3726,0.0671,0.728,0.6961,0.272,"(3, 4, 10)"
Huber Regressor,2.0254,6.3344,2.5102,-0.043,0.7245,0.625,0.279,"(3, 4, 10)"
Dummy Regressor,2.0859,6.1028,2.4661,-0.0075,0.7549,0.7537,0.287,"(3, 4, 10)"
Passive Aggressive Regressor,2.2469,8.6443,2.9324,-0.4318,0.83,0.6732,0.29,"(3, 4, 10)"
Least Angle Regression,685382376.8083,8.895265587601082e+18,945209746.9865,-1.4370691844568773e+18,8.2495,415916350.6601,0.278,"(3, 4, 10)"
K Neighbors Regressor,0.2861,0.2899,0.5323,0.9515,0.2026,0.1097,0.265,"(3, 4, 12)"
Light Gradient Boosting Machine,1.0039,2.0297,1.4175,0.6607,0.4791,0.3285,0.357,"(3, 4, 12)"
Extra Trees Regressor,1.0055,2.0044,1.4113,0.6646,0.4781,0.3097,0.399,"(3, 4, 12)"
Random Forest Regressor,1.0313,2.1432,1.4576,0.6423,0.4895,0.3058,0.822,"(3, 4, 12)"
Decision Tree Regressor,1.1313,3.8654,1.9505,0.3521,0.632,0.4298,0.277,"(3, 4, 12)"
Gradient Boosting Regressor,1.2047,2.6537,1.6252,0.5552,0.5423,0.3743,0.576,"(3, 4, 12)"
Linear Regression,1.659,4.4589,2.1067,0.2519,0.6582,0.5887,0.277,"(3, 4, 12)"
Ridge Regression,1.7415,4.776,2.1816,0.1988,0.6737,0.6162,0.283,"(3, 4, 12)"
Bayesian Ridge,1.7625,4.8663,2.2021,0.1839,0.678,0.6291,0.276,"(3, 4, 12)"
AdaBoost Regressor,1.8216,4.6773,2.1594,0.2152,0.7305,0.7264,0.338,"(3, 4, 12)"
Orthogonal Matching Pursuit,1.8779,5.4379,2.327,0.0896,0.7113,0.6795,0.279,"(3, 4, 12)"
Elastic Net,1.8951,5.4653,2.3331,0.0847,0.7162,0.6829,0.276,"(3, 4, 12)"
Lasso Regression,1.9181,5.5345,2.3481,0.0727,0.7232,0.6918,0.275,"(3, 4, 12)"
Lasso Least Angle Regression,1.9181,5.5345,2.3481,0.0727,0.7232,0.6918,0.275,"(3, 4, 12)"
Huber Regressor,1.9216,6.2342,2.492,-0.0443,0.7104,0.5838,0.269,"(3, 4, 12)"
Dummy Regressor,2.0177,5.9824,2.4419,-0.003,0.748,0.7403,0.281,"(3, 4, 12)"
Passive Aggressive Regressor,2.5781,12.0907,3.4378,-1.0664,1.0414,0.9496,0.283,"(3, 4, 12)"
Least Angle Regression,1026.7032,27751017.1703,1706.0367,-5077415.4205,2.1985,577.3321,0.283,"(3, 4, 12)"
K Neighbors Regressor,0.2582,0.249,0.4912,0.9544,0.1862,0.1034,0.278,"(3, 4, 13)"
Light Gradient Boosting Machine,0.9606,1.7923,1.3362,0.6688,0.4583,0.3346,0.351,"(3, 4, 13)"
Extra Trees Regressor,0.9622,1.7813,1.3286,0.6736,0.4577,0.309,0.41,"(3, 4, 13)"
Random Forest Regressor,0.995,1.9421,1.3919,0.6418,0.4768,0.3136,0.826,"(3, 4, 13)"
Gradient Boosting Regressor,1.168,2.4751,1.5721,0.5417,0.5344,0.3748,0.598,"(3, 4, 13)"
Decision Tree Regressor,1.2158,4.4977,2.1045,0.1702,0.6499,0.4655,0.285,"(3, 4, 13)"
Linear Regression,1.5883,4.1628,2.0383,0.2307,0.6464,0.5482,0.276,"(3, 4, 13)"
Ridge Regression,1.6542,4.4539,2.1084,0.1785,0.6621,0.5607,0.275,"(3, 4, 13)"
Bayesian Ridge,1.6709,4.5088,2.1211,0.1694,0.6652,0.5695,0.276,"(3, 4, 13)"
AdaBoost Regressor,1.7481,4.3579,2.086,0.1932,0.7097,0.6654,0.323,"(3, 4, 13)"
Orthogonal Matching Pursuit,1.8231,5.089,2.2534,0.0632,0.703,0.6507,0.28,"(3, 4, 13)"
Elastic Net,1.8381,5.114,2.2588,0.059,0.708,0.6529,0.271,"(3, 4, 13)"
Lasso Regression,1.8591,5.1788,2.2729,0.0475,0.7148,0.6609,0.282,"(3, 4, 13)"
Lasso Least Angle Regression,1.8591,5.1788,2.2729,0.0475,0.7148,0.6609,0.262,"(3, 4, 13)"
Huber Regressor,1.8639,5.6794,2.3786,-0.0419,0.7041,0.5743,0.278,"(3, 4, 13)"
Dummy Regressor,1.9454,5.5052,2.3429,-0.0115,0.7358,0.7089,0.281,"(3, 4, 13)"
Passive Aggressive Regressor,2.2742,8.8745,2.9279,-0.644,0.968,0.7951,0.281,"(3, 4, 13)"
Least Angle Regression,2.2688214231880954e+60,1.0080580607582339e+122,3.1749930090603882e+60,-1.7013189763090212e+121,16.1186,1.2556492136145567e+60,0.276,"(3, 4, 13)"
K Neighbors Regressor,0.2653,0.2563,0.4962,0.9547,0.1976,0.0986,0.283,"(3, 4, 15)"
Light Gradient Boosting Machine,0.9715,1.8784,1.3635,0.6635,0.4654,0.312,0.352,"(3, 4, 15)"
Extra Trees Regressor,0.9763,1.8807,1.3672,0.6603,0.4639,0.2951,0.402,"(3, 4, 15)"
Random Forest Regressor,0.9814,1.9923,1.4059,0.6434,0.4762,0.2874,0.781,"(3, 4, 15)"
Gradient Boosting Regressor,1.1509,2.4444,1.5589,0.5591,0.5242,0.3516,0.565,"(3, 4, 15)"
Decision Tree Regressor,1.2103,4.1551,2.0304,0.2546,0.6465,0.439,0.279,"(3, 4, 15)"
Linear Regression,1.5849,4.2781,2.0646,0.2291,0.6441,0.5317,0.276,"(3, 4, 15)"
Ridge Regression,1.633,4.4061,2.0953,0.2059,0.6523,0.5556,0.274,"(3, 4, 15)"
Bayesian Ridge,1.6532,4.4782,2.1123,0.1938,0.6548,0.5643,0.277,"(3, 4, 15)"
AdaBoost Regressor,1.6981,4.2557,2.0606,0.2281,0.693,0.6493,0.321,"(3, 4, 15)"
Orthogonal Matching Pursuit,1.805,5.0726,2.2461,0.0911,0.691,0.645,0.282,"(3, 4, 15)"
Elastic Net,1.8241,5.0995,2.2523,0.0863,0.6965,0.6527,0.277,"(3, 4, 15)"
Lasso Regression,1.8467,5.169,2.2678,0.0739,0.7036,0.6628,0.279,"(3, 4, 15)"
Lasso Least Angle Regression,1.8467,5.169,2.2678,0.0739,0.7036,0.6628,0.279,"(3, 4, 15)"
Huber Regressor,1.8665,5.7093,2.3817,-0.0198,0.6972,0.5839,0.279,"(3, 4, 15)"
Dummy Regressor,1.9484,5.6147,2.3643,-0.0065,0.7287,0.7138,0.273,"(3, 4, 15)"
Passive Aggressive Regressor,2.7228,12.366,3.4062,-1.2214,1.0823,1.1373,0.286,"(3, 4, 15)"
Least Angle Regression,1029.4374,15336965.5147,1318.7692,-2860257.5391,2.9041,536.8224,0.279,"(3, 4, 15)"
K Neighbors Regressor,0.2721,0.2772,0.5178,0.9493,0.1983,0.0987,0.268,"(3, 4, 16)"
Extra Trees Regressor,0.9847,1.8142,1.3403,0.6741,0.4596,0.307,0.406,"(3, 4, 16)"
Light Gradient Boosting Machine,0.9948,1.882,1.3653,0.6622,0.4673,0.322,0.346,"(3, 4, 16)"
Random Forest Regressor,1.0435,2.1038,1.443,0.6229,0.4861,0.3092,0.838,"(3, 4, 16)"
Gradient Boosting Regressor,1.1823,2.5334,1.5839,0.5453,0.5267,0.3719,0.599,"(3, 4, 16)"
Decision Tree Regressor,1.2953,4.6227,2.1382,0.1731,0.6737,0.4504,0.285,"(3, 4, 16)"
Linear Regression,1.5857,4.0826,2.0159,0.2686,0.6329,0.5522,0.274,"(3, 4, 16)"
Ridge Regression,1.6713,4.4237,2.0997,0.2061,0.6518,0.5868,0.272,"(3, 4, 16)"
Bayesian Ridge,1.6932,4.5025,2.1188,0.1914,0.6544,0.5956,0.276,"(3, 4, 16)"
AdaBoost Regressor,1.7594,4.4454,2.106,0.2006,0.6969,0.6699,0.326,"(3, 4, 16)"
Orthogonal Matching Pursuit,1.8261,5.0399,2.2417,0.0954,0.6891,0.6577,0.277,"(3, 4, 16)"
Elastic Net,1.8431,5.0685,2.2484,0.0903,0.6942,0.6611,0.272,"(3, 4, 16)"
Lasso Regression,1.8653,5.1403,2.2645,0.0773,0.7013,0.67,0.279,"(3, 4, 16)"
Lasso Least Angle Regression,1.8653,5.1403,2.2645,0.0773,0.7013,0.67,0.271,"(3, 4, 16)"
Huber Regressor,1.9065,5.7169,2.3883,-0.0265,0.6976,0.6096,0.266,"(3, 4, 16)"
Dummy Regressor,1.9761,5.6173,2.3676,-0.0087,0.728,0.73,0.274,"(3, 4, 16)"
Passive Aggressive Regressor,2.3498,9.5069,3.0447,-0.7116,0.9817,0.8481,0.271,"(3, 4, 16)"
Least Angle Regression,2.4502147338811558e+131,1.6698601253051382e+264,4.086392204995916e+131,-3.1837800054455944e+263,36.4253,1.1207378308150686e+131,0.275,"(3, 4, 16)"
K Neighbors Regressor,0.2821,0.3075,0.5496,0.9466,0.1955,0.1037,0.263,"(3, 4, 17)"
Random Forest Regressor,0.9087,1.7474,1.3168,0.6979,0.4515,0.2631,0.773,"(3, 4, 17)"
Decision Tree Regressor,0.9251,3.1018,1.7349,0.4557,0.542,0.3447,0.29,"(3, 4, 17)"
Light Gradient Boosting Machine,0.9595,1.8977,1.3742,0.6698,0.4625,0.3085,0.358,"(3, 4, 17)"
Extra Trees Regressor,0.9939,1.9604,1.3969,0.6598,0.4724,0.2983,0.411,"(3, 4, 17)"
Gradient Boosting Regressor,1.2366,2.77,1.661,0.5171,0.5519,0.3736,0.578,"(3, 4, 17)"
Linear Regression,1.6412,4.4488,2.1039,0.232,0.6616,0.5566,0.275,"(3, 4, 17)"
Ridge Regression,1.742,4.8,2.1865,0.17,0.6856,0.583,0.271,"(3, 4, 17)"
Bayesian Ridge,1.7627,4.8739,2.2039,0.156,0.6884,0.5939,0.275,"(3, 4, 17)"
AdaBoost Regressor,1.8085,4.655,2.1504,0.2008,0.7244,0.6746,0.322,"(3, 4, 17)"
Orthogonal Matching Pursuit,1.8948,5.372,2.3125,0.0737,0.7179,0.6648,0.272,"(3, 4, 17)"
Elastic Net,1.9104,5.3983,2.3179,0.07,0.722,0.6695,0.258,"(3, 4, 17)"
Lasso Regression,1.9308,5.465,2.3319,0.0593,0.7281,0.6788,0.279,"(3, 4, 17)"
Lasso Least Angle Regression,1.9308,5.465,2.3319,0.0593,0.7281,0.6788,0.275,"(3, 4, 17)"
Huber Regressor,1.9566,6.1103,2.4619,-0.045,0.7201,0.5974,0.276,"(3, 4, 17)"
Dummy Regressor,2.0297,5.9147,2.4236,-0.013,0.7523,0.7279,0.261,"(3, 4, 17)"
Passive Aggressive Regressor,2.6523,12.27,3.4877,-1.1164,1.1561,0.9813,0.272,"(3, 4, 17)"
Least Angle Regression,272204.9301,1691673497804.805,452878.1782,-288175533475.8276,5.6657,129744.0042,0.271,"(3, 4, 17)"
K Neighbors Regressor,0.2848,0.2414,0.4888,0.9524,0.1825,0.112,0.275,"(3, 5, 6)"
Random Forest Regressor,0.938,1.7494,1.3171,0.6572,0.4566,0.2803,0.839,"(3, 5, 6)"
Light Gradient Boosting Machine,0.9469,1.7347,1.3115,0.6602,0.4519,0.3112,0.337,"(3, 5, 6)"
Extra Trees Regressor,0.9512,1.7388,1.3146,0.6578,0.4513,0.295,0.418,"(3, 5, 6)"
Decision Tree Regressor,1.0968,3.4413,1.8519,0.3201,0.6116,0.3954,0.28,"(3, 5, 6)"
Gradient Boosting Regressor,1.1833,2.4662,1.5664,0.5159,0.5265,0.3694,0.607,"(3, 5, 6)"
Linear Regression,1.6158,4.2089,2.0476,0.1735,0.6471,0.5468,0.274,"(3, 5, 6)"
Ridge Regression,1.7165,4.5504,2.1286,0.1086,0.6684,0.5919,0.262,"(3, 5, 6)"
Bayesian Ridge,1.7509,4.6689,2.1566,0.0851,0.6758,0.6182,0.278,"(3, 5, 6)"
AdaBoost Regressor,1.7719,4.4799,2.1147,0.1178,0.7017,0.7015,0.319,"(3, 5, 6)"
Orthogonal Matching Pursuit,1.8288,4.9992,2.2318,0.0203,0.6914,0.6703,0.274,"(3, 5, 6)"
Huber Regressor,1.8289,5.2592,2.2881,-0.0294,0.6764,0.5985,0.276,"(3, 5, 6)"
Elastic Net,1.8378,5.0345,2.2396,0.0134,0.6952,0.6744,0.265,"(3, 5, 6)"
Lasso Regression,1.843,5.0635,2.2461,0.0076,0.6973,0.6739,0.282,"(3, 5, 6)"
Lasso Least Angle Regression,1.843,5.0635,2.2461,0.0076,0.6973,0.6739,0.282,"(3, 5, 6)"
Dummy Regressor,1.8811,5.1388,2.2633,-0.0079,0.7038,0.6975,0.277,"(3, 5, 6)"
Passive Aggressive Regressor,2.4904,9.6791,3.0747,-0.9041,1.0344,1.0387,0.281,"(3, 5, 6)"
Least Angle Regression,1495027323.7084,5.369737322544305e+19,2317278281.3661,-8.882798410106092e+18,5.4898,782341553.1604,0.275,"(3, 5, 6)"
K Neighbors Regressor,0.3067,0.3148,0.5511,0.9442,0.2121,0.1091,0.272,"(3, 5, 8)"
Random Forest Regressor,0.9646,1.8643,1.3602,0.6662,0.4669,0.2784,0.845,"(3, 5, 8)"
Light Gradient Boosting Machine,0.996,1.9216,1.3804,0.655,0.4704,0.3162,0.352,"(3, 5, 8)"
Decision Tree Regressor,1.0209,3.2316,1.794,0.4182,0.5891,0.3556,0.287,"(3, 5, 8)"
Extra Trees Regressor,1.025,1.9821,1.4047,0.6444,0.4766,0.3113,0.405,"(3, 5, 8)"
Gradient Boosting Regressor,1.2373,2.7121,1.6441,0.5132,0.5428,0.3754,0.601,"(3, 5, 8)"
Linear Regression,1.7159,4.7037,2.1665,0.1565,0.6669,0.5503,0.269,"(3, 5, 8)"
Ridge Regression,1.7767,4.9366,2.2197,0.1155,0.683,0.5685,0.273,"(3, 5, 8)"
Bayesian Ridge,1.8007,5.0177,2.2379,0.1007,0.6883,0.5848,0.279,"(3, 5, 8)"
AdaBoost Regressor,1.8049,4.7307,2.1732,0.1526,0.7053,0.6432,0.339,"(3, 5, 8)"
Orthogonal Matching Pursuit,1.896,5.3669,2.3146,0.0377,0.7044,0.6419,0.271,"(3, 5, 8)"
Elastic Net,1.9004,5.3588,2.3131,0.0393,0.7049,0.6461,0.275,"(3, 5, 8)"
Lasso Regression,1.9055,5.3809,2.318,0.0354,0.7069,0.649,0.28,"(3, 5, 8)"
Lasso Least Angle Regression,1.9055,5.3809,2.318,0.0354,0.7069,0.649,0.271,"(3, 5, 8)"
Huber Regressor,1.9254,5.7412,2.3944,-0.0286,0.6981,0.6108,0.276,"(3, 5, 8)"
Dummy Regressor,1.9492,5.64,2.3731,-0.0101,0.7219,0.6736,0.257,"(3, 5, 8)"
Passive Aggressive Regressor,2.6032,10.2593,3.1034,-0.8523,0.8969,1.0247,0.277,"(3, 5, 8)"
Least Angle Regression,759204.2946,10172948368126.371,1010578.4609,-1807806859439.557,4.7039,359912.24,0.276,"(3, 5, 8)"
K Neighbors Regressor,0.3085,0.2903,0.5355,0.9444,0.2027,0.1157,0.259,"(3, 5, 9)"
Random Forest Regressor,0.9677,1.8848,1.37,0.6403,0.4608,0.2964,0.757,"(3, 5, 9)"
Light Gradient Boosting Machine,0.9997,1.9096,1.3788,0.6371,0.4661,0.3335,0.33,"(3, 5, 9)"
Extra Trees Regressor,1.0266,2.0114,1.416,0.6161,0.4708,0.3237,0.4,"(3, 5, 9)"
Decision Tree Regressor,1.1011,3.5879,1.8852,0.3107,0.5866,0.4016,0.276,"(3, 5, 9)"
Gradient Boosting Regressor,1.187,2.579,1.6018,0.5084,0.5264,0.3835,0.561,"(3, 5, 9)"
Linear Regression,1.5832,4.0072,1.9975,0.2365,0.6298,0.5501,0.27,"(3, 5, 9)"
AdaBoost Regressor,1.6895,4.1747,2.0409,0.2053,0.6728,0.6312,0.326,"(3, 5, 9)"
Ridge Regression,1.7041,4.5061,2.1193,0.1434,0.6616,0.5841,0.269,"(3, 5, 9)"
Bayesian Ridge,1.728,4.5991,2.1413,0.1255,0.667,0.5988,0.279,"(3, 5, 9)"
Orthogonal Matching Pursuit,1.7995,4.9363,2.2187,0.0617,0.6819,0.6453,0.282,"(3, 5, 9)"
Elastic Net,1.8062,4.9711,2.2266,0.0553,0.6851,0.6474,0.278,"(3, 5, 9)"
Lasso Regression,1.8189,5.0344,2.2407,0.0434,0.6891,0.652,0.274,"(3, 5, 9)"
Lasso Least Angle Regression,1.8189,5.0344,2.2407,0.0434,0.6891,0.652,0.278,"(3, 5, 9)"
Huber Regressor,1.8569,5.4398,2.3276,-0.0306,0.6782,0.6063,0.271,"(3, 5, 9)"
Dummy Regressor,1.8923,5.2969,2.2979,-0.005,0.7047,0.6929,0.27,"(3, 5, 9)"
Passive Aggressive Regressor,2.529,11.0257,3.0677,-1.1437,0.8807,1.0026,0.269,"(3, 5, 9)"
