Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Linear Regression,2.0796,6.7963,2.5861,-0.0683,0.6516,0.6171,0.181,"(3, 13, 17)"
Huber Regressor,2.097,6.5761,2.5457,-0.032,0.6539,0.6288,0.187,"(3, 13, 17)"
Dummy Regressor,2.0991,6.5129,2.5392,-0.0156,0.6651,0.6405,0.188,"(3, 13, 17)"
Orthogonal Matching Pursuit,2.1042,6.3287,2.5006,0.0126,0.6558,0.6421,0.182,"(3, 13, 17)"
Lasso Least Angle Regression,2.1085,6.4832,2.5304,-0.0103,0.662,0.6488,0.182,"(3, 13, 17)"
Lasso Regression,2.1085,6.4832,2.5304,-0.0103,0.662,0.6488,0.183,"(3, 13, 17)"
Elastic Net,2.1096,6.4725,2.5276,-0.0087,0.661,0.6491,0.183,"(3, 13, 17)"
Bayesian Ridge,2.121,6.6128,2.5549,-0.029,0.6666,0.6492,0.186,"(3, 13, 17)"
K Neighbors Regressor,2.1843,7.4701,2.7157,-0.1771,0.6904,0.6399,0.187,"(3, 13, 17)"
Decision Tree Regressor,2.4074,10.4201,3.1567,-0.5989,0.8179,0.7268,0.185,"(3, 13, 17)"
Passive Aggressive Regressor,3.2658,18.4937,4.0501,-1.995,0.8475,1.0336,0.182,"(3, 13, 17)"
Least Angle Regression,290536.7222,1319782231483.4495,377100.3222,-242067282478.749,5.5897,79242.777,0.183,"(3, 13, 17)"
Extra Trees Regressor,1.5845,4.3007,2.0487,0.3072,0.5162,0.4033,0.238,"(3, 15, 16)"
Random Forest Regressor,1.7247,4.7372,2.1641,0.2228,0.5365,0.4425,0.297,"(3, 15, 16)"
Light Gradient Boosting Machine,1.7309,4.9883,2.2024,0.1949,0.5428,0.4392,0.204,"(3, 15, 16)"
Gradient Boosting Regressor,1.7585,5.1172,2.2476,0.1617,0.5475,0.4421,0.241,"(3, 15, 16)"
Ridge Regression,1.794,5.1942,2.2683,0.1389,0.558,0.4802,0.189,"(3, 15, 16)"
Linear Regression,1.867,5.873,2.3999,0.0334,0.582,0.4973,0.179,"(3, 15, 16)"
Huber Regressor,1.8704,5.4204,2.3196,0.0969,0.5674,0.5073,0.191,"(3, 15, 16)"
AdaBoost Regressor,1.8757,5.4214,2.3085,0.1173,0.5654,0.4828,0.22,"(3, 15, 16)"
Elastic Net,1.9125,5.578,2.3521,0.0779,0.5785,0.5374,0.181,"(3, 15, 16)"
Lasso Least Angle Regression,1.9148,5.6049,2.3582,0.0739,0.58,0.5381,0.187,"(3, 15, 16)"
Lasso Regression,1.9148,5.6049,2.3582,0.0739,0.58,0.5381,0.186,"(3, 15, 16)"
Bayesian Ridge,1.9168,5.6045,2.3574,0.0724,0.58,0.5359,0.187,"(3, 15, 16)"
Orthogonal Matching Pursuit,1.9195,5.5369,2.3447,0.0802,0.5776,0.5398,0.186,"(3, 15, 16)"
Dummy Regressor,2.0325,6.2711,2.4948,-0.0306,0.5999,0.5801,0.192,"(3, 15, 16)"
K Neighbors Regressor,2.1194,6.907,2.6176,-0.157,0.6153,0.584,0.184,"(3, 15, 16)"
Decision Tree Regressor,2.2601,9.0016,2.9748,-0.5158,0.725,0.635,0.185,"(3, 15, 16)"
Passive Aggressive Regressor,3.1045,15.0674,3.8126,-1.7136,0.7672,0.7504,0.185,"(3, 15, 16)"
Least Angle Regression,1946.6911,61941218.5503,2993.4273,-12173909.4961,3.3851,566.7112,0.189,"(3, 15, 16)"
Extra Trees Regressor,1.7636,5.1737,2.2549,0.16,0.5562,0.4422,0.244,"(3, 15, 17)"
Light Gradient Boosting Machine,1.8394,5.6748,2.3688,0.0684,0.5805,0.4563,0.203,"(3, 15, 17)"
Random Forest Regressor,1.8435,5.5084,2.3233,0.117,0.5731,0.4659,0.31,"(3, 15, 17)"
Ridge Regression,1.9651,6.2327,2.4882,-0.0345,0.5995,0.5148,0.187,"(3, 15, 17)"
Gradient Boosting Regressor,1.971,6.4449,2.51,-0.0523,0.6003,0.4885,0.252,"(3, 15, 17)"
Huber Regressor,1.9813,6.4305,2.5275,-0.0575,0.6081,0.5226,0.189,"(3, 15, 17)"
Linear Regression,1.9944,6.376,2.5181,-0.0854,0.5889,0.5193,0.188,"(3, 15, 17)"
Bayesian Ridge,2.0153,6.3725,2.5109,-0.026,0.6084,0.542,0.188,"(3, 15, 17)"
Lasso Least Angle Regression,2.0161,6.3727,2.5106,-0.0252,0.6081,0.5415,0.184,"(3, 15, 17)"
Lasso Regression,2.0161,6.3727,2.5106,-0.0252,0.6081,0.5415,0.193,"(3, 15, 17)"
Elastic Net,2.0176,6.4155,2.5193,-0.0331,0.6096,0.54,0.188,"(3, 15, 17)"
Orthogonal Matching Pursuit,2.0222,6.491,2.5345,-0.0508,0.6138,0.5409,0.195,"(3, 15, 17)"
AdaBoost Regressor,2.0466,6.3129,2.4978,-0.0324,0.6023,0.5218,0.225,"(3, 15, 17)"
Dummy Regressor,2.0637,6.512,2.533,-0.0384,0.6106,0.5602,0.192,"(3, 15, 17)"
K Neighbors Regressor,2.1485,7.4376,2.6975,-0.1897,0.636,0.5693,0.198,"(3, 15, 17)"
Decision Tree Regressor,2.4861,11.0304,3.3016,-0.8122,0.8095,0.6286,0.193,"(3, 15, 17)"
Passive Aggressive Regressor,3.4909,21.8893,4.3079,-2.2467,0.8836,0.9932,0.189,"(3, 15, 17)"
Least Angle Regression,61851.2981,47052007585.6704,97845.3614,-5234837398.1977,5.7421,15552.1537,0.193,"(3, 15, 17)"
Extra Trees Regressor,1.6821,4.52,2.1148,0.2859,0.5733,0.455,0.261,"(3, 16, 17)"
Gradient Boosting Regressor,1.7475,4.7531,2.1684,0.2496,0.583,0.4754,0.26,"(3, 16, 17)"
Light Gradient Boosting Machine,1.7726,5.0302,2.2324,0.2024,0.5957,0.4892,0.21,"(3, 16, 17)"
Random Forest Regressor,1.7892,4.959,2.2158,0.2175,0.5955,0.4843,0.331,"(3, 16, 17)"
Linear Regression,1.9014,5.5916,2.3551,0.1078,0.6025,0.5393,0.193,"(3, 16, 17)"
Ridge Regression,1.9904,5.8245,2.4041,0.0745,0.6258,0.566,0.19,"(3, 16, 17)"
AdaBoost Regressor,2.0159,5.9944,2.4345,0.0585,0.6391,0.5742,0.212,"(3, 16, 17)"
Huber Regressor,2.0744,6.3852,2.5149,-0.0102,0.6495,0.5779,0.196,"(3, 16, 17)"
Dummy Regressor,2.1061,6.6568,2.5686,-0.0441,0.6674,0.6286,0.192,"(3, 16, 17)"
Elastic Net,2.1078,6.4306,2.5256,-0.0145,0.6607,0.6214,0.19,"(3, 16, 17)"
Bayesian Ridge,2.1088,6.4333,2.5262,-0.0145,0.6592,0.6211,0.194,"(3, 16, 17)"
Lasso Regression,2.1093,6.4527,2.53,-0.0171,0.6616,0.6231,0.19,"(3, 16, 17)"
Lasso Least Angle Regression,2.1093,6.4527,2.53,-0.0171,0.6616,0.6231,0.191,"(3, 16, 17)"
Orthogonal Matching Pursuit,2.118,6.4814,2.5331,-0.0219,0.6574,0.6241,0.192,"(3, 16, 17)"
K Neighbors Regressor,2.218,7.4406,2.7133,-0.1806,0.6888,0.6266,0.194,"(3, 16, 17)"
Decision Tree Regressor,2.2627,9.1904,3.0142,-0.4626,0.7695,0.6555,0.193,"(3, 16, 17)"
Passive Aggressive Regressor,3.3669,19.7153,4.0852,-2.0641,0.8438,1.1703,0.192,"(3, 16, 17)"
Least Angle Regression,33979.8014,15523737104.8883,43841.3159,-2435990064.3981,5.3391,8139.9027,0.191,"(3, 16, 17)"
Extra Trees Regressor,1.6342,4.3349,2.0748,0.3446,0.5343,0.4745,0.255,"(4, 6, 9)"
Light Gradient Boosting Machine,1.7478,4.9826,2.2226,0.2442,0.5696,0.5082,0.218,"(4, 6, 9)"
Random Forest Regressor,1.759,4.9716,2.2243,0.2479,0.5681,0.5077,0.335,"(4, 6, 9)"
Gradient Boosting Regressor,1.7652,4.9831,2.2245,0.2477,0.5677,0.5217,0.266,"(4, 6, 9)"
Linear Regression,1.804,5.3108,2.2978,0.1829,0.5816,0.5107,0.192,"(4, 6, 9)"
AdaBoost Regressor,1.9707,5.7097,2.3842,0.1373,0.6033,0.561,0.233,"(4, 6, 9)"
Ridge Regression,2.0031,6.3823,2.5158,0.0324,0.639,0.573,0.2,"(4, 6, 9)"
Huber Regressor,2.0379,6.4682,2.5283,0.0181,0.6419,0.5797,0.201,"(4, 6, 9)"
Orthogonal Matching Pursuit,2.0721,6.4804,2.5383,0.0201,0.6451,0.6045,0.19,"(4, 6, 9)"
Bayesian Ridge,2.1277,6.8084,2.6013,-0.0272,0.6564,0.6205,0.195,"(4, 6, 9)"
Elastic Net,2.132,6.7256,2.5905,-0.0198,0.6544,0.6324,0.193,"(4, 6, 9)"
Lasso Regression,2.1338,6.7325,2.5919,-0.0203,0.6554,0.6334,0.194,"(4, 6, 9)"
Lasso Least Angle Regression,2.1338,6.7325,2.5919,-0.0203,0.6554,0.6334,0.192,"(4, 6, 9)"
Dummy Regressor,2.1469,6.7882,2.6014,-0.0264,0.6588,0.6392,0.197,"(4, 6, 9)"
Decision Tree Regressor,2.1935,9.267,3.0136,-0.4031,0.7163,0.6667,0.194,"(4, 6, 9)"
K Neighbors Regressor,2.3463,7.951,2.8132,-0.2144,0.6997,0.6567,0.193,"(4, 6, 9)"
Passive Aggressive Regressor,4.4116,32.3331,5.3726,-3.762,1.0484,1.384,0.193,"(4, 6, 9)"
Least Angle Regression,782920.2092,6056520383050.203,1025356.8372,-796135651738.4282,6.3485,253445.8188,0.198,"(4, 6, 9)"
Extra Trees Regressor,1.7679,5.006,2.2305,0.2646,0.6012,0.488,0.27,"(4, 6, 12)"
Light Gradient Boosting Machine,1.8831,5.6437,2.366,0.1707,0.6251,0.5104,0.222,"(4, 6, 12)"
Random Forest Regressor,1.8993,5.5161,2.3419,0.1884,0.6286,0.5296,0.343,"(4, 6, 12)"
Gradient Boosting Regressor,1.9971,6.1673,2.4757,0.0905,0.6435,0.5709,0.273,"(4, 6, 12)"
Ridge Regression,2.0269,6.3844,2.5202,0.063,0.6673,0.5643,0.198,"(4, 6, 12)"
Linear Regression,2.0342,6.3966,2.522,0.0522,0.6613,0.5746,0.195,"(4, 6, 12)"
Huber Regressor,2.0674,6.4577,2.5343,0.0516,0.6651,0.5763,0.2,"(4, 6, 12)"
AdaBoost Regressor,2.0925,6.3956,2.5204,0.067,0.6653,0.5932,0.222,"(4, 6, 12)"
Bayesian Ridge,2.1079,6.4125,2.5249,0.062,0.6705,0.6019,0.203,"(4, 6, 12)"
Orthogonal Matching Pursuit,2.1292,6.4946,2.5381,0.0507,0.6747,0.6082,0.201,"(4, 6, 12)"
Elastic Net,2.2199,6.87,2.6129,-0.001,0.6872,0.6535,0.199,"(4, 6, 12)"
Dummy Regressor,2.2232,6.9396,2.6274,-0.0124,0.6938,0.6584,0.189,"(4, 6, 12)"
Lasso Regression,2.225,6.8937,2.6179,-0.0048,0.6892,0.6569,0.198,"(4, 6, 12)"
Lasso Least Angle Regression,2.225,6.8937,2.6179,-0.0048,0.6892,0.6569,0.198,"(4, 6, 12)"
Decision Tree Regressor,2.3787,9.7955,3.1009,-0.4512,0.8298,0.7065,0.198,"(4, 6, 12)"
K Neighbors Regressor,2.3832,8.2459,2.8559,-0.1992,0.7281,0.6592,0.198,"(4, 6, 12)"
Passive Aggressive Regressor,3.3108,17.6419,4.065,-1.635,0.9129,1.0673,0.195,"(4, 6, 12)"
Least Angle Regression,493487.9283,3961108512908.7065,658030.4657,-553687680698.2375,6.4222,164933.6187,0.2,"(4, 6, 12)"
Extra Trees Regressor,1.4814,3.6759,1.9039,0.3795,0.4864,0.4609,0.272,"(4, 6, 13)"
Light Gradient Boosting Machine,1.5396,4.063,1.9991,0.3188,0.4972,0.4642,0.218,"(4, 6, 13)"
Random Forest Regressor,1.5621,4.0191,1.9917,0.3244,0.5031,0.4835,0.355,"(4, 6, 13)"
Gradient Boosting Regressor,1.6434,4.3955,2.0918,0.2516,0.5161,0.5237,0.277,"(4, 6, 13)"
Linear Regression,1.7915,5.0871,2.2458,0.1481,0.5578,0.5141,0.2,"(4, 6, 13)"
AdaBoost Regressor,1.8336,5.0214,2.2312,0.1574,0.5555,0.5554,0.246,"(4, 6, 13)"
Ridge Regression,1.8397,5.4519,2.3223,0.0901,0.5811,0.5415,0.203,"(4, 6, 13)"
Huber Regressor,1.85,5.3916,2.3092,0.1018,0.5816,0.5496,0.205,"(4, 6, 13)"
Bayesian Ridge,1.8696,5.4689,2.3274,0.0889,0.5876,0.5594,0.211,"(4, 6, 13)"
Orthogonal Matching Pursuit,1.8915,5.49,2.329,0.0906,0.5886,0.5681,0.204,"(4, 6, 13)"
Elastic Net,1.9855,5.916,2.4273,0.0102,0.603,0.6006,0.203,"(4, 6, 13)"
Lasso Regression,2.0037,6.0024,2.4445,-0.0025,0.6066,0.6072,0.203,"(4, 6, 13)"
Lasso Least Angle Regression,2.0037,6.0024,2.4445,-0.0025,0.6066,0.6072,0.201,"(4, 6, 13)"
Dummy Regressor,2.0432,6.1436,2.4716,-0.023,0.6111,0.622,0.201,"(4, 6, 13)"
K Neighbors Regressor,2.0755,6.831,2.5989,-0.1404,0.6271,0.6127,0.201,"(4, 6, 13)"
Decision Tree Regressor,2.1183,8.3933,2.8783,-0.446,0.6672,0.6643,0.202,"(4, 6, 13)"
Passive Aggressive Regressor,3.7046,21.264,4.3995,-2.77,0.9785,1.0521,0.201,"(4, 6, 13)"
Least Angle Regression,252659.2326,1751816115410.515,426062.6956,-239838510316.4855,4.7822,81879.3721,0.201,"(4, 6, 13)"
Extra Trees Regressor,1.5808,4.2347,2.0502,0.2995,0.5267,0.3762,0.261,"(4, 6, 15)"
Light Gradient Boosting Machine,1.6424,4.6268,2.1384,0.2291,0.539,0.396,0.222,"(4, 6, 15)"
Random Forest Regressor,1.6721,4.6628,2.1519,0.2285,0.5425,0.4075,0.34,"(4, 6, 15)"
Gradient Boosting Regressor,1.7057,5.0441,2.2378,0.1635,0.5608,0.4175,0.277,"(4, 6, 15)"
Linear Regression,1.7746,5.0997,2.2441,0.1536,0.5466,0.4422,0.205,"(4, 6, 15)"
Ridge Regression,1.793,5.4213,2.3212,0.1044,0.5776,0.4337,0.204,"(4, 6, 15)"
AdaBoost Regressor,1.8422,5.4948,2.3342,0.0869,0.5738,0.4456,0.241,"(4, 6, 15)"
Huber Regressor,1.8646,5.6186,2.363,0.0758,0.582,0.4506,0.212,"(4, 6, 15)"
Bayesian Ridge,1.8663,5.6713,2.3735,0.0698,0.5866,0.4589,0.205,"(4, 6, 15)"
Orthogonal Matching Pursuit,1.9419,5.9761,2.4343,0.0221,0.5983,0.4783,0.206,"(4, 6, 15)"
Lasso Regression,2.0073,6.1612,2.4748,-0.0096,0.6024,0.5093,0.203,"(4, 6, 15)"
Lasso Least Angle Regression,2.0073,6.1612,2.4748,-0.0096,0.6024,0.5093,0.205,"(4, 6, 15)"
Elastic Net,2.0087,6.1726,2.4767,-0.0112,0.6025,0.5079,0.203,"(4, 6, 15)"
Dummy Regressor,2.0467,6.323,2.5084,-0.0362,0.6071,0.5299,0.216,"(4, 6, 15)"
K Neighbors Regressor,2.1703,7.1362,2.6616,-0.1734,0.6269,0.5406,0.203,"(4, 6, 15)"
Decision Tree Regressor,2.2714,9.5171,3.0677,-0.5943,0.7492,0.5905,0.202,"(4, 6, 15)"
Passive Aggressive Regressor,3.8416,24.6083,4.7945,-3.2086,0.84,1.1617,0.207,"(4, 6, 15)"
Least Angle Regression,5349732502.9253,5.8157222078784484e+20,7641307198.392,-1.4762231813227597e+20,10.7074,1687296384.5264,0.206,"(4, 6, 15)"
Extra Trees Regressor,1.5612,4.0794,1.9997,0.3347,0.5399,0.3994,0.275,"(4, 6, 16)"
Light Gradient Boosting Machine,1.6315,4.3352,2.069,0.2789,0.5553,0.4207,0.235,"(4, 6, 16)"
Random Forest Regressor,1.6788,4.5422,2.1137,0.2555,0.5629,0.4344,0.348,"(4, 6, 16)"
Gradient Boosting Regressor,1.6872,4.743,2.1669,0.2116,0.5643,0.4281,0.282,"(4, 6, 16)"
Linear Regression,1.7029,4.5544,2.1257,0.2234,0.5686,0.4515,0.209,"(4, 6, 16)"
Ridge Regression,1.8041,5.1559,2.2561,0.1386,0.6025,0.4764,0.207,"(4, 6, 16)"
AdaBoost Regressor,1.8588,5.2114,2.2662,0.1427,0.5947,0.4747,0.247,"(4, 6, 16)"
Huber Regressor,1.886,5.4761,2.3218,0.0841,0.6169,0.5041,0.213,"(4, 6, 16)"
Bayesian Ridge,1.8928,5.4031,2.3105,0.1004,0.6147,0.5032,0.21,"(4, 6, 16)"
Orthogonal Matching Pursuit,1.9381,5.5449,2.3441,0.0723,0.6163,0.522,0.204,"(4, 6, 16)"
Lasso Regression,2.036,6.0664,2.451,-0.0006,0.6405,0.56,0.21,"(4, 6, 16)"
Lasso Least Angle Regression,2.036,6.0664,2.451,-0.0006,0.6405,0.56,0.205,"(4, 6, 16)"
Elastic Net,2.0367,6.0459,2.4475,0.0005,0.6395,0.5598,0.208,"(4, 6, 16)"
Dummy Regressor,2.0589,6.2771,2.4894,-0.0257,0.6459,0.5677,0.212,"(4, 6, 16)"
K Neighbors Regressor,2.075,6.5075,2.5382,-0.0797,0.6403,0.5491,0.207,"(4, 6, 16)"
Decision Tree Regressor,2.161,8.3342,2.8836,-0.4438,0.7418,0.6053,0.208,"(4, 6, 16)"
Passive Aggressive Regressor,3.5267,19.6902,4.2869,-2.7853,0.9324,0.8951,0.208,"(4, 6, 16)"
Least Angle Regression,493615.7744,3301622466122.5615,616693.7579,-452479753112.3981,6.149,152000.9956,0.207,"(4, 6, 16)"
Extra Trees Regressor,1.7167,4.7069,2.1519,0.2884,0.5672,0.4673,0.273,"(4, 6, 17)"
Linear Regression,1.8082,5.3716,2.2995,0.1736,0.5706,0.4829,0.214,"(4, 6, 17)"
Gradient Boosting Regressor,1.8203,5.3166,2.2913,0.193,0.589,0.502,0.286,"(4, 6, 17)"
Random Forest Regressor,1.8221,5.2442,2.2739,0.2072,0.5971,0.5069,0.365,"(4, 6, 17)"
Light Gradient Boosting Machine,1.8468,5.3111,2.2866,0.1952,0.5871,0.5077,0.236,"(4, 6, 17)"
Ridge Regression,1.9986,6.2839,2.495,0.0372,0.6315,0.5454,0.215,"(4, 6, 17)"
Huber Regressor,2.0136,6.3406,2.5038,0.0312,0.6356,0.5507,0.214,"(4, 6, 17)"
AdaBoost Regressor,2.0318,6.1898,2.4747,0.0576,0.6213,0.5512,0.245,"(4, 6, 17)"
Bayesian Ridge,2.0601,6.4007,2.5188,0.0223,0.6374,0.5744,0.21,"(4, 6, 17)"
Orthogonal Matching Pursuit,2.0637,6.4038,2.5178,0.0241,0.6384,0.5774,0.211,"(4, 6, 17)"
Elastic Net,2.1068,6.5756,2.5552,-0.0054,0.6414,0.5998,0.207,"(4, 6, 17)"
Lasso Regression,2.1072,6.5846,2.5573,-0.0061,0.6423,0.6014,0.215,"(4, 6, 17)"
Lasso Least Angle Regression,2.1072,6.5846,2.5573,-0.0061,0.6423,0.6014,0.211,"(4, 6, 17)"
Dummy Regressor,2.1318,6.6959,2.5798,-0.022,0.6469,0.6133,0.213,"(4, 6, 17)"
K Neighbors Regressor,2.272,7.9498,2.8079,-0.2223,0.6822,0.6216,0.218,"(4, 6, 17)"
Decision Tree Regressor,2.4716,10.4989,3.2157,-0.5975,0.7942,0.6614,0.212,"(4, 6, 17)"
Passive Aggressive Regressor,3.137,14.5108,3.7251,-1.341,0.9503,0.8022,0.21,"(4, 6, 17)"
Least Angle Regression,51007.1341,24744140666.0364,63713.581,-3122188166.6468,5.5558,16989.6594,0.209,"(4, 6, 17)"
Extra Trees Regressor,1.807,5.4082,2.2689,0.3145,0.5782,0.4808,0.277,"(4, 9, 12)"
Light Gradient Boosting Machine,1.9129,6.0636,2.413,0.2199,0.6048,0.5194,0.231,"(4, 9, 12)"
Random Forest Regressor,1.9324,5.9349,2.3929,0.2378,0.6049,0.5165,0.343,"(4, 9, 12)"
Gradient Boosting Regressor,2.0263,6.5735,2.5368,0.1452,0.6279,0.5396,0.277,"(4, 9, 12)"
Linear Regression,2.0312,6.5865,2.5479,0.1308,0.6272,0.5652,0.214,"(4, 9, 12)"
Ridge Regression,2.1577,7.1477,2.6317,0.0858,0.6571,0.5928,0.213,"(4, 9, 12)"
AdaBoost Regressor,2.1974,6.9807,2.6007,0.1094,0.6367,0.5834,0.25,"(4, 9, 12)"
Huber Regressor,2.2364,7.4776,2.6928,0.0352,0.6677,0.6292,0.224,"(4, 9, 12)"
Orthogonal Matching Pursuit,2.2889,7.4993,2.7082,0.0347,0.6742,0.6506,0.222,"(4, 9, 12)"
Bayesian Ridge,2.3116,7.6164,2.7264,0.0261,0.6753,0.6563,0.213,"(4, 9, 12)"
Elastic Net,2.371,7.8839,2.7808,-0.0142,0.6827,0.686,0.213,"(4, 9, 12)"
Decision Tree Regressor,2.3767,10.6741,3.208,-0.3828,0.7805,0.6889,0.215,"(4, 9, 12)"
Lasso Regression,2.3804,7.9055,2.7854,-0.0168,0.6839,0.6897,0.216,"(4, 9, 12)"
Lasso Least Angle Regression,2.3804,7.9055,2.7854,-0.0168,0.6839,0.6897,0.216,"(4, 9, 12)"
Dummy Regressor,2.4373,8.1345,2.8293,-0.047,0.689,0.7167,0.218,"(4, 9, 12)"
K Neighbors Regressor,2.6341,9.7436,3.099,-0.264,0.7333,0.7247,0.216,"(4, 9, 12)"
Passive Aggressive Regressor,3.9659,24.2579,4.7495,-2.5118,0.9245,1.1657,0.219,"(4, 9, 12)"
Least Angle Regression,388762.014,2272776705779.624,542251.1877,-210821934324.3876,5.533,110638.8288,0.213,"(4, 9, 12)"
Extra Trees Regressor,1.6118,4.2326,2.0482,0.3498,0.5645,0.428,0.27,"(4, 9, 13)"
Gradient Boosting Regressor,1.6706,4.7112,2.1548,0.2799,0.5723,0.4453,0.284,"(4, 9, 13)"
Light Gradient Boosting Machine,1.7177,4.8709,2.1899,0.2479,0.5766,0.4725,0.225,"(4, 9, 13)"
Random Forest Regressor,1.7383,4.9307,2.2113,0.2407,0.596,0.4654,0.359,"(4, 9, 13)"
Linear Regression,1.8276,5.4288,2.3117,0.168,0.5878,0.4934,0.213,"(4, 9, 13)"
AdaBoost Regressor,1.9519,5.6904,2.3795,0.1196,0.6265,0.5142,0.244,"(4, 9, 13)"
Ridge Regression,1.9534,6.056,2.4447,0.0756,0.6382,0.5181,0.221,"(4, 9, 13)"
Bayesian Ridge,2.0122,6.2392,2.4919,0.0415,0.6537,0.5371,0.214,"(4, 9, 13)"
Orthogonal Matching Pursuit,2.0145,6.1738,2.4798,0.0517,0.6542,0.5451,0.217,"(4, 9, 13)"
Huber Regressor,2.0149,6.5897,2.5572,-0.018,0.662,0.5347,0.215,"(4, 9, 13)"
Elastic Net,2.1187,6.6594,2.5727,-0.0209,0.6669,0.5764,0.219,"(4, 9, 13)"
Lasso Regression,2.1258,6.7081,2.5823,-0.0288,0.6687,0.5789,0.219,"(4, 9, 13)"
Lasso Least Angle Regression,2.1258,6.7081,2.5823,-0.0288,0.6687,0.5789,0.217,"(4, 9, 13)"
Dummy Regressor,2.1325,6.6876,2.5802,-0.0244,0.6673,0.5878,0.216,"(4, 9, 13)"
K Neighbors Regressor,2.2213,7.2557,2.6834,-0.1123,0.6824,0.6102,0.216,"(4, 9, 13)"
Decision Tree Regressor,2.2594,9.3707,3.0489,-0.4594,0.7679,0.6391,0.225,"(4, 9, 13)"
Passive Aggressive Regressor,3.599,21.8896,4.4488,-2.2749,0.8823,1.2193,0.223,"(4, 9, 13)"
Least Angle Regression,263526.8328,765507979434.76,329590.3646,-99563471114.4186,7.0309,67422.7301,0.222,"(4, 9, 13)"
Extra Trees Regressor,1.7423,5.1339,2.2546,0.1645,0.5651,0.4172,0.271,"(4, 9, 15)"
Random Forest Regressor,1.8374,5.4779,2.3296,0.0956,0.5839,0.4414,0.35,"(4, 9, 15)"
Gradient Boosting Regressor,1.8629,5.4771,2.3292,0.0927,0.5806,0.4538,0.282,"(4, 9, 15)"
Light Gradient Boosting Machine,1.8741,5.7482,2.3849,0.054,0.592,0.4392,0.239,"(4, 9, 15)"
Linear Regression,1.8838,5.6391,2.3618,0.0532,0.5779,0.4794,0.223,"(4, 9, 15)"
Ridge Regression,1.9333,6.2743,2.4864,-0.0244,0.6093,0.4784,0.216,"(4, 9, 15)"
AdaBoost Regressor,1.9565,6.2133,2.4765,-0.007,0.6083,0.4514,0.266,"(4, 9, 15)"
Huber Regressor,1.965,6.3064,2.4995,-0.0327,0.6156,0.4849,0.222,"(4, 9, 15)"
Orthogonal Matching Pursuit,1.9739,6.1651,2.4707,-0.003,0.6133,0.4919,0.219,"(4, 9, 15)"
Lasso Least Angle Regression,1.9887,6.2231,2.4863,-0.0137,0.6156,0.5015,0.221,"(4, 9, 15)"
Lasso Regression,1.9887,6.2231,2.4863,-0.0137,0.6156,0.5015,0.227,"(4, 9, 15)"
Elastic Net,1.9942,6.2594,2.4933,-0.0202,0.6163,0.502,0.223,"(4, 9, 15)"
Bayesian Ridge,1.9981,6.2781,2.4969,-0.0216,0.6169,0.5029,0.219,"(4, 9, 15)"
Dummy Regressor,2.0705,6.5631,2.5474,-0.0544,0.6264,0.532,0.224,"(4, 9, 15)"
K Neighbors Regressor,2.2211,7.5625,2.7405,-0.2492,0.6648,0.5482,0.225,"(4, 9, 15)"
Decision Tree Regressor,2.4961,11.0178,3.289,-0.8308,0.7988,0.6137,0.218,"(4, 9, 15)"
Passive Aggressive Regressor,3.3621,20.1097,4.0175,-1.9834,0.7789,0.8666,0.221,"(4, 9, 15)"
Least Angle Regression,526210.3817,2693793226627.8984,742169.8092,-604875020658.1677,8.0315,153589.2944,0.229,"(4, 9, 15)"
Extra Trees Regressor,1.6339,4.6317,2.1241,0.2853,0.5398,0.4128,0.283,"(4, 9, 16)"
Gradient Boosting Regressor,1.6999,4.7886,2.1668,0.2578,0.5523,0.4253,0.293,"(4, 9, 16)"
Light Gradient Boosting Machine,1.7032,5.0156,2.2151,0.2149,0.5645,0.4221,0.24,"(4, 9, 16)"
Random Forest Regressor,1.7149,4.8621,2.184,0.2467,0.5591,0.4374,0.35,"(4, 9, 16)"
Linear Regression,1.7356,5.0046,2.222,0.2084,0.5675,0.4816,0.22,"(4, 9, 16)"
Ridge Regression,1.887,5.7407,2.3729,0.1083,0.5992,0.5102,0.221,"(4, 9, 16)"
Orthogonal Matching Pursuit,1.9092,5.7979,2.3777,0.1048,0.6043,0.5332,0.227,"(4, 9, 16)"
AdaBoost Regressor,1.9239,5.7873,2.3887,0.0944,0.6027,0.4937,0.254,"(4, 9, 16)"
Bayesian Ridge,1.9459,5.9321,2.4109,0.0812,0.6105,0.5284,0.22,"(4, 9, 16)"
Huber Regressor,1.9906,6.2358,2.4598,0.0363,0.6211,0.5404,0.229,"(4, 9, 16)"
Elastic Net,2.1036,6.6494,2.5611,-0.0355,0.6437,0.5897,0.219,"(4, 9, 16)"
Lasso Regression,2.1053,6.6715,2.5654,-0.0384,0.645,0.5912,0.224,"(4, 9, 16)"
Lasso Least Angle Regression,2.1053,6.6715,2.5654,-0.0384,0.645,0.5912,0.224,"(4, 9, 16)"
Dummy Regressor,2.1421,6.8888,2.6091,-0.0724,0.6529,0.6111,0.232,"(4, 9, 16)"
Decision Tree Regressor,2.1731,8.725,2.9403,-0.4071,0.748,0.5697,0.225,"(4, 9, 16)"
K Neighbors Regressor,2.2433,7.5536,2.736,-0.1846,0.671,0.5914,0.226,"(4, 9, 16)"
Passive Aggressive Regressor,4.7758,38.4052,5.629,-5.2741,0.9734,1.4458,0.22,"(4, 9, 16)"
