Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects,Sensor,Combinations
Extra Trees Regressor,1.2815,2.9853,1.7237,0.4499,0.5515,0.4764,0.249,"(2, 13, 16)",trunk,3
Random Forest Regressor,1.3178,3.1765,1.7773,0.4153,0.5626,0.48,0.348,"(2, 13, 16)",trunk,3
Light Gradient Boosting Machine,1.3364,3.2856,1.8103,0.391,0.5641,0.5291,0.222,"(2, 13, 16)",trunk,3
Gradient Boosting Regressor,1.4114,3.4549,1.8551,0.3621,0.5891,0.5306,0.287,"(2, 13, 16)",trunk,3
Decision Tree Regressor,1.6654,6.1143,2.4669,-0.1302,0.7504,0.6732,0.254,"(2, 13, 16)",trunk,3
Huber Regressor,1.7523,5.1193,2.2567,0.0575,0.6715,0.5966,0.204,"(2, 13, 16)",trunk,3
Linear Regression,1.7651,4.8833,2.2057,0.0986,0.684,0.6638,0.195,"(2, 13, 16)",trunk,3
Bayesian Ridge,1.7974,4.9831,2.2274,0.0819,0.6963,0.6721,0.194,"(2, 13, 16)",trunk,3
Ridge Regression,1.7976,4.9806,2.2269,0.0823,0.6962,0.6724,0.191,"(2, 13, 16)",trunk,3
AdaBoost Regressor,1.8261,4.7585,2.1785,0.1193,0.7195,0.7844,0.207,"(2, 13, 16)",trunk,3
K Neighbors Regressor,1.8352,5.5307,2.3486,-0.0269,0.7104,0.71,0.203,"(2, 13, 16)",trunk,3
Orthogonal Matching Pursuit,1.8907,5.3646,2.3123,0.0101,0.7147,0.7194,0.198,"(2, 13, 16)",trunk,3
Elastic Net,1.9013,5.3787,2.3153,0.0075,0.7169,0.7231,0.187,"(2, 13, 16)",trunk,3
Lasso Regression,1.9151,5.4168,2.3236,0.0005,0.7203,0.7301,0.21,"(2, 13, 16)",trunk,3
Lasso Least Angle Regression,1.9151,5.4168,2.3236,0.0005,0.7203,0.7301,0.244,"(2, 13, 16)",trunk,3
Dummy Regressor,1.9271,5.4639,2.3336,-0.0082,0.7237,0.7362,0.235,"(2, 13, 16)",trunk,3
Passive Aggressive Regressor,2.5502,11.5194,3.2239,-1.214,0.8608,1.1013,0.197,"(2, 13, 16)",trunk,3
Least Angle Regression,84.499,70989.2566,116.4171,-13932.1039,1.5636,43.7277,0.195,"(2, 13, 16)",trunk,3
Extra Trees Regressor,1.3421,3.287,1.8093,0.4456,0.5623,0.4904,0.255,"(2, 13, 17)",trunk,3
Random Forest Regressor,1.3829,3.4783,1.8602,0.4139,0.5744,0.4984,0.335,"(2, 13, 17)",trunk,3
Light Gradient Boosting Machine,1.3835,3.4802,1.8624,0.4102,0.5739,0.5365,0.221,"(2, 13, 17)",trunk,3
Gradient Boosting Regressor,1.4527,3.6785,1.9143,0.3794,0.5948,0.5257,0.287,"(2, 13, 17)",trunk,3
Decision Tree Regressor,1.7471,6.7432,2.5909,-0.1333,0.7633,0.7295,0.198,"(2, 13, 17)",trunk,3
Linear Regression,1.8359,5.2642,2.2914,0.1132,0.6935,0.6784,0.24,"(2, 13, 17)",trunk,3
Huber Regressor,1.8429,5.5488,2.3513,0.0674,0.6893,0.6213,0.205,"(2, 13, 17)",trunk,3
AdaBoost Regressor,1.8851,5.2014,2.2776,0.1229,0.7275,0.7788,0.239,"(2, 13, 17)",trunk,3
Bayesian Ridge,1.8951,5.4203,2.3247,0.0882,0.713,0.7013,0.197,"(2, 13, 17)",trunk,3
Ridge Regression,1.8995,5.4239,2.3254,0.0876,0.7138,0.7043,0.201,"(2, 13, 17)",trunk,3
K Neighbors Regressor,1.911,6.0618,2.4609,-0.0296,0.729,0.7306,0.202,"(2, 13, 17)",trunk,3
Orthogonal Matching Pursuit,1.9942,5.8381,2.4118,0.0196,0.7336,0.7537,0.202,"(2, 13, 17)",trunk,3
Elastic Net,2.0,5.8517,2.4144,0.0178,0.7345,0.7547,0.196,"(2, 13, 17)",trunk,3
Lasso Regression,2.0137,5.8882,2.4218,0.0118,0.7372,0.7632,0.258,"(2, 13, 17)",trunk,3
Lasso Least Angle Regression,2.0137,5.8882,2.4218,0.0118,0.7372,0.7632,0.242,"(2, 13, 17)",trunk,3
Dummy Regressor,2.0386,5.9949,2.4439,-0.0064,0.7435,0.779,0.193,"(2, 13, 17)",trunk,3
Passive Aggressive Regressor,2.6117,11.4331,3.2789,-1.0496,0.8669,1.1322,0.204,"(2, 13, 17)",trunk,3
Least Angle Regression,22.8595,6409.6739,30.4275,-1088.7242,1.239,11.8773,0.19,"(2, 13, 17)",trunk,3
Extra Trees Regressor,1.3178,3.1821,1.7807,0.4623,0.5601,0.4568,0.249,"(2, 15, 16)",trunk,3
Random Forest Regressor,1.3727,3.4637,1.8566,0.4187,0.5755,0.4771,0.351,"(2, 15, 16)",trunk,3
Light Gradient Boosting Machine,1.3976,3.5822,1.8894,0.3946,0.5768,0.5041,0.221,"(2, 15, 16)",trunk,3
Gradient Boosting Regressor,1.4646,3.7169,1.9243,0.3741,0.598,0.5135,0.281,"(2, 15, 16)",trunk,3
Decision Tree Regressor,1.7703,6.8977,2.6177,-0.1667,0.7613,0.7006,0.192,"(2, 15, 16)",trunk,3
Linear Regression,1.7915,5.0991,2.253,0.1454,0.6846,0.6539,0.202,"(2, 15, 16)",trunk,3
Huber Regressor,1.8173,5.3924,2.3167,0.0965,0.6838,0.6048,0.202,"(2, 15, 16)",trunk,3
AdaBoost Regressor,1.8439,5.0244,2.238,0.1551,0.719,0.7493,0.211,"(2, 15, 16)",trunk,3
Bayesian Ridge,1.8472,5.3003,2.2973,0.1113,0.7042,0.6628,0.195,"(2, 15, 16)",trunk,3
Ridge Regression,1.8526,5.3114,2.2998,0.1094,0.7051,0.6647,0.202,"(2, 15, 16)",trunk,3
K Neighbors Regressor,1.9198,6.0468,2.4531,-0.0164,0.7232,0.706,0.194,"(2, 15, 16)",trunk,3
Orthogonal Matching Pursuit,1.9857,5.8902,2.422,0.0122,0.7314,0.7376,0.205,"(2, 15, 16)",trunk,3
Elastic Net,1.9952,5.9068,2.4253,0.0097,0.7334,0.7425,0.201,"(2, 15, 16)",trunk,3
Lasso Regression,2.009,5.9471,2.4336,0.003,0.7365,0.7502,0.201,"(2, 15, 16)",trunk,3
Lasso Least Angle Regression,2.009,5.9471,2.4336,0.003,0.7365,0.7502,0.193,"(2, 15, 16)",trunk,3
Dummy Regressor,2.0223,6.0032,2.445,-0.0064,0.7399,0.7577,0.201,"(2, 15, 16)",trunk,3
Passive Aggressive Regressor,2.2211,7.8763,2.7712,-0.3026,0.7787,0.9279,0.195,"(2, 15, 16)",trunk,3
Least Angle Regression,2.7336,12.7885,3.5185,-1.1716,0.8821,1.2507,0.196,"(2, 15, 16)",trunk,3
Extra Trees Regressor,1.3409,3.2844,1.8028,0.4883,0.5662,0.4529,0.25,"(2, 15, 17)",trunk,3
Random Forest Regressor,1.3575,3.4053,1.8342,0.4704,0.5697,0.452,0.319,"(2, 15, 17)",trunk,3
Light Gradient Boosting Machine,1.3631,3.4879,1.8597,0.4549,0.5732,0.4813,0.221,"(2, 15, 17)",trunk,3
Gradient Boosting Regressor,1.4617,3.7562,1.9291,0.415,0.6019,0.4994,0.284,"(2, 15, 17)",trunk,3
Decision Tree Regressor,1.6683,6.4361,2.5245,-0.0099,0.7448,0.6759,0.208,"(2, 15, 17)",trunk,3
Linear Regression,1.9029,5.607,2.3643,0.1237,0.7093,0.6803,0.194,"(2, 15, 17)",trunk,3
Huber Regressor,1.9272,5.87,2.4175,0.0852,0.707,0.6409,0.203,"(2, 15, 17)",trunk,3
AdaBoost Regressor,1.9379,5.5106,2.3438,0.1345,0.7459,0.7658,0.222,"(2, 15, 17)",trunk,3
Bayesian Ridge,1.9592,5.7542,2.3945,0.1024,0.7284,0.695,0.196,"(2, 15, 17)",trunk,3
Ridge Regression,1.9747,5.789,2.4018,0.097,0.7336,0.7005,0.194,"(2, 15, 17)",trunk,3
K Neighbors Regressor,2.0057,6.4778,2.5403,-0.0124,0.7513,0.7329,0.199,"(2, 15, 17)",trunk,3
Orthogonal Matching Pursuit,2.0732,6.2811,2.5024,0.0197,0.7542,0.7478,0.195,"(2, 15, 17)",trunk,3
Elastic Net,2.0768,6.2946,2.5049,0.0178,0.7554,0.748,0.193,"(2, 15, 17)",trunk,3
Lasso Regression,2.0871,6.3293,2.5117,0.0126,0.758,0.754,0.194,"(2, 15, 17)",trunk,3
Lasso Least Angle Regression,2.0871,6.3293,2.5117,0.0126,0.758,0.754,0.199,"(2, 15, 17)",trunk,3
Dummy Regressor,2.1198,6.463,2.538,-0.0081,0.7656,0.7727,0.196,"(2, 15, 17)",trunk,3
Passive Aggressive Regressor,2.5889,10.6758,3.2504,-0.6767,0.8828,1.0663,0.244,"(2, 15, 17)",trunk,3
Least Angle Regression,21.2133,6505.171,32.4993,-998.5608,1.3791,9.9004,0.195,"(2, 15, 17)",trunk,3
Extra Trees Regressor,1.3741,3.3655,1.8309,0.4515,0.5671,0.49,0.252,"(2, 16, 17)",trunk,3
Light Gradient Boosting Machine,1.3859,3.5533,1.8806,0.421,0.5718,0.5268,0.218,"(2, 16, 17)",trunk,3
Random Forest Regressor,1.4183,3.5548,1.8821,0.4215,0.5779,0.4962,0.367,"(2, 16, 17)",trunk,3
Gradient Boosting Regressor,1.4799,3.6978,1.9193,0.3991,0.5931,0.5275,0.33,"(2, 16, 17)",trunk,3
Decision Tree Regressor,1.7805,6.8728,2.6145,-0.1178,0.7768,0.704,0.223,"(2, 16, 17)",trunk,3
Linear Regression,1.8654,5.3475,2.3081,0.1329,0.6943,0.6932,0.194,"(2, 16, 17)",trunk,3
Huber Regressor,1.8907,5.6285,2.367,0.089,0.6919,0.6462,0.195,"(2, 16, 17)",trunk,3
AdaBoost Regressor,1.9197,5.3765,2.3158,0.1259,0.7352,0.7836,0.201,"(2, 16, 17)",trunk,3
Bayesian Ridge,1.9248,5.522,2.3454,0.1052,0.7148,0.7084,0.192,"(2, 16, 17)",trunk,3
Ridge Regression,1.9273,5.5235,2.3458,0.105,0.7154,0.7085,0.189,"(2, 16, 17)",trunk,3
K Neighbors Regressor,1.9407,6.188,2.4835,-0.0052,0.7322,0.7123,0.205,"(2, 16, 17)",trunk,3
Orthogonal Matching Pursuit,2.0324,6.0473,2.4551,0.0203,0.7387,0.754,0.194,"(2, 16, 17)",trunk,3
Elastic Net,2.0371,6.0611,2.4578,0.0182,0.7402,0.755,0.202,"(2, 16, 17)",trunk,3
Lasso Regression,2.0495,6.0964,2.4649,0.0126,0.743,0.7625,0.197,"(2, 16, 17)",trunk,3
Lasso Least Angle Regression,2.0495,6.0964,2.4649,0.0126,0.743,0.7625,0.192,"(2, 16, 17)",trunk,3
Dummy Regressor,2.0777,6.2105,2.4879,-0.006,0.75,0.7794,0.195,"(2, 16, 17)",trunk,3
Passive Aggressive Regressor,2.5975,10.7371,3.1937,-0.7509,0.8709,1.1603,0.194,"(2, 16, 17)",trunk,3
Least Angle Regression,4.388,36.5194,5.7177,-4.8416,1.0494,2.0302,0.255,"(2, 16, 17)",trunk,3
Extra Trees Regressor,1.4482,3.6664,1.9109,0.364,0.5889,0.4759,0.251,"(3, 4, 5)",trunk,3
Random Forest Regressor,1.5297,4.0151,1.9996,0.3045,0.6118,0.5035,0.381,"(3, 4, 5)",trunk,3
Light Gradient Boosting Machine,1.541,4.1859,2.0426,0.2731,0.6148,0.5226,0.222,"(3, 4, 5)",trunk,3
Gradient Boosting Regressor,1.6231,4.3243,2.075,0.2509,0.6303,0.5401,0.289,"(3, 4, 5)",trunk,3
Huber Regressor,1.8841,5.5548,2.3508,0.0419,0.6852,0.6063,0.209,"(3, 4, 5)",trunk,3
Linear Regression,1.9013,5.4526,2.3301,0.0577,0.6997,0.6556,0.198,"(3, 4, 5)",trunk,3
Ridge Regression,1.916,5.4876,2.3373,0.0525,0.7034,0.6618,0.196,"(3, 4, 5)",trunk,3
Bayesian Ridge,1.9162,5.4897,2.3378,0.0521,0.7035,0.6618,0.198,"(3, 4, 5)",trunk,3
K Neighbors Regressor,1.9668,6.0159,2.4481,-0.0437,0.7195,0.6981,0.241,"(3, 4, 5)",trunk,3
Orthogonal Matching Pursuit,1.9728,5.7785,2.4001,0.0002,0.7181,0.706,0.205,"(3, 4, 5)",trunk,3
Elastic Net,1.9771,5.7948,2.4035,-0.0027,0.7194,0.7123,0.195,"(3, 4, 5)",trunk,3
Lasso Regression,1.9778,5.7976,2.4041,-0.0032,0.7195,0.7131,0.2,"(3, 4, 5)",trunk,3
Lasso Least Angle Regression,1.9778,5.7976,2.4041,-0.0032,0.7195,0.7131,0.202,"(3, 4, 5)",trunk,3
Dummy Regressor,1.9778,5.7976,2.4041,-0.0032,0.7195,0.7131,0.252,"(3, 4, 5)",trunk,3
AdaBoost Regressor,2.0021,5.6935,2.3831,0.013,0.7504,0.8019,0.215,"(3, 4, 5)",trunk,3
Decision Tree Regressor,2.0538,8.4519,2.9009,-0.4672,0.8407,0.7619,0.261,"(3, 4, 5)",trunk,3
Passive Aggressive Regressor,3.4953,23.6714,4.2138,-2.9902,0.9657,1.4027,0.195,"(3, 4, 5)",trunk,3
Least Angle Regression,784.8292,10538205.2134,1034.0574,-1861273.1639,1.6886,383.5562,0.195,"(3, 4, 5)",trunk,3
Extra Trees Regressor,1.3026,2.9825,1.7251,0.3906,0.5567,0.4568,0.257,"(3, 4, 6)",trunk,3
Light Gradient Boosting Machine,1.3771,3.336,1.8194,0.3204,0.5821,0.5078,0.233,"(3, 4, 6)",trunk,3
Random Forest Regressor,1.4156,3.435,1.85,0.3018,0.5928,0.4961,0.376,"(3, 4, 6)",trunk,3
Gradient Boosting Regressor,1.4641,3.5976,1.8923,0.2688,0.6058,0.5095,0.294,"(3, 4, 6)",trunk,3
Huber Regressor,1.7004,4.6895,2.1612,0.0518,0.6606,0.5809,0.199,"(3, 4, 6)",trunk,3
Linear Regression,1.7063,4.5295,2.1251,0.0822,0.6715,0.6261,0.194,"(3, 4, 6)",trunk,3
Bayesian Ridge,1.7291,4.5687,2.1343,0.0745,0.6791,0.6323,0.189,"(3, 4, 6)",trunk,3
Ridge Regression,1.7316,4.5716,2.1349,0.0741,0.68,0.6336,0.196,"(3, 4, 6)",trunk,3
Orthogonal Matching Pursuit,1.811,4.8986,2.2094,0.009,0.7003,0.6731,0.203,"(3, 4, 6)",trunk,3
K Neighbors Regressor,1.8228,5.3556,2.31,-0.085,0.7155,0.6866,0.197,"(3, 4, 6)",trunk,3
Elastic Net,1.8247,4.9126,2.2126,0.0061,0.702,0.6806,0.193,"(3, 4, 6)",trunk,3
Lasso Regression,1.8418,4.9501,2.2211,-0.0015,0.7052,0.6911,0.194,"(3, 4, 6)",trunk,3
Lasso Least Angle Regression,1.8418,4.9501,2.2211,-0.0015,0.7052,0.6911,0.197,"(3, 4, 6)",trunk,3
AdaBoost Regressor,1.8595,4.8521,2.2015,0.0102,0.7352,0.783,0.206,"(3, 4, 6)",trunk,3
Dummy Regressor,1.8601,5.0099,2.2345,-0.0137,0.7092,0.7023,0.196,"(3, 4, 6)",trunk,3
Decision Tree Regressor,1.8913,7.319,2.6991,-0.4969,0.8122,0.7532,0.198,"(3, 4, 6)",trunk,3
Passive Aggressive Regressor,3.002,14.8874,3.6069,-2.1717,0.9177,1.3403,0.198,"(3, 4, 6)",trunk,3
Least Angle Regression,29.0294,10600.9755,45.1625,-2172.8951,1.6322,13.5553,0.196,"(3, 4, 6)",trunk,3
Extra Trees Regressor,1.4681,3.6722,1.9149,0.3732,0.6037,0.4971,0.299,"(3, 4, 8)",trunk,3
Light Gradient Boosting Machine,1.5046,3.913,1.9747,0.3319,0.6072,0.5315,0.225,"(3, 4, 8)",trunk,3
Random Forest Regressor,1.5343,3.9778,1.992,0.3217,0.6196,0.5223,0.357,"(3, 4, 8)",trunk,3
Gradient Boosting Regressor,1.5973,4.2031,2.0476,0.2847,0.6355,0.5413,0.319,"(3, 4, 8)",trunk,3
Linear Regression,1.8728,5.3902,2.3203,0.0806,0.7126,0.647,0.199,"(3, 4, 8)",trunk,3
Huber Regressor,1.9009,5.6192,2.3689,0.0427,0.7066,0.6188,0.204,"(3, 4, 8)",trunk,3
Bayesian Ridge,1.9202,5.5215,2.3484,0.0587,0.7238,0.6643,0.197,"(3, 4, 8)",trunk,3
Ridge Regression,1.9208,5.5186,2.3478,0.0593,0.7238,0.6648,0.2,"(3, 4, 8)",trunk,3
Decision Tree Regressor,1.9549,7.597,2.7491,-0.3007,0.8155,0.7559,0.195,"(3, 4, 8)",trunk,3
Orthogonal Matching Pursuit,1.9757,5.7956,2.4058,0.0131,0.7373,0.6943,0.198,"(3, 4, 8)",trunk,3
Elastic Net,1.9833,5.8149,2.41,0.0099,0.7404,0.6957,0.203,"(3, 4, 8)",trunk,3
AdaBoost Regressor,1.9971,5.6287,2.3711,0.0387,0.7674,0.8082,0.241,"(3, 4, 8)",trunk,3
Lasso Regression,2.0004,5.8652,2.4204,0.0014,0.7445,0.7019,0.195,"(3, 4, 8)",trunk,3
Lasso Least Angle Regression,2.0004,5.8652,2.4204,0.0014,0.7445,0.7019,0.194,"(3, 4, 8)",trunk,3
Dummy Regressor,2.0086,5.8966,2.4269,-0.004,0.7465,0.7051,0.201,"(3, 4, 8)",trunk,3
K Neighbors Regressor,2.0173,6.3522,2.5188,-0.084,0.7506,0.7236,0.197,"(3, 4, 8)",trunk,3
Passive Aggressive Regressor,2.696,12.072,3.3204,-1.1224,0.8845,1.0626,0.208,"(3, 4, 8)",trunk,3
Least Angle Regression,9.4964,365.4692,13.4279,-57.1615,1.3021,4.3862,0.197,"(3, 4, 8)",trunk,3
Extra Trees Regressor,1.307,3.1467,1.7721,0.4195,0.5554,0.4288,0.284,"(3, 4, 9)",trunk,3
Random Forest Regressor,1.3702,3.4112,1.8444,0.3718,0.5757,0.4549,0.386,"(3, 4, 9)",trunk,3
Light Gradient Boosting Machine,1.3901,3.556,1.8836,0.3429,0.5834,0.4801,0.232,"(3, 4, 9)",trunk,3
Gradient Boosting Regressor,1.4632,3.7623,1.9375,0.307,0.6037,0.4797,0.298,"(3, 4, 9)",trunk,3
Decision Tree Regressor,1.7083,6.4622,2.5353,-0.1866,0.7516,0.6398,0.206,"(3, 4, 9)",trunk,3
Linear Regression,1.7402,4.8073,2.1893,0.1177,0.6776,0.6108,0.196,"(3, 4, 9)",trunk,3
Huber Regressor,1.7695,5.1216,2.2587,0.0618,0.6782,0.5786,0.208,"(3, 4, 9)",trunk,3
Bayesian Ridge,1.8016,5.0037,2.233,0.0831,0.6968,0.634,0.194,"(3, 4, 9)",trunk,3
Ridge Regression,1.8039,5.0043,2.2331,0.083,0.6974,0.6357,0.199,"(3, 4, 9)",trunk,3
K Neighbors Regressor,1.8517,5.5449,2.3492,-0.0168,0.7139,0.6793,0.206,"(3, 4, 9)",trunk,3
Orthogonal Matching Pursuit,1.8577,5.2406,2.2852,0.0398,0.7107,0.6698,0.194,"(3, 4, 9)",trunk,3
Elastic Net,1.8623,5.255,2.2885,0.037,0.7125,0.6664,0.198,"(3, 4, 9)",trunk,3
Lasso Regression,1.8777,5.2914,2.2966,0.0301,0.7156,0.6734,0.195,"(3, 4, 9)",trunk,3
Lasso Least Angle Regression,1.8777,5.2914,2.2966,0.0301,0.7156,0.6734,0.255,"(3, 4, 9)",trunk,3
Dummy Regressor,1.929,5.4693,2.3354,-0.0034,0.7277,0.7008,0.214,"(3, 4, 9)",trunk,3
AdaBoost Regressor,1.9335,5.3091,2.303,0.0185,0.7644,0.8114,0.228,"(3, 4, 9)",trunk,3
Least Angle Regression,2.5897,13.1104,3.4842,-1.3648,0.8345,1.1225,0.2,"(3, 4, 9)",trunk,3
Passive Aggressive Regressor,2.6272,10.8234,3.2326,-1.0178,0.9115,1.1477,0.191,"(3, 4, 9)",trunk,3
Extra Trees Regressor,1.466,3.7118,1.9226,0.3768,0.5956,0.4969,0.264,"(3, 4, 10)",trunk,3
Light Gradient Boosting Machine,1.4814,3.8958,1.9711,0.3451,0.6008,0.5324,0.219,"(3, 4, 10)",trunk,3
Random Forest Regressor,1.5013,3.905,1.9724,0.345,0.6076,0.5076,0.371,"(3, 4, 10)",trunk,3
Gradient Boosting Regressor,1.5839,4.2526,2.0591,0.2871,0.6314,0.5431,0.283,"(3, 4, 10)",trunk,3
Linear Regression,1.8232,5.1639,2.2693,0.1356,0.6922,0.6535,0.195,"(3, 4, 10)",trunk,3
Decision Tree Regressor,1.8425,7.2775,2.6941,-0.2266,0.7905,0.7029,0.194,"(3, 4, 10)",trunk,3
Huber Regressor,1.8587,5.4668,2.3342,0.0856,0.6909,0.6202,0.209,"(3, 4, 10)",trunk,3
Bayesian Ridge,1.8839,5.3504,2.3098,0.1045,0.7081,0.668,0.194,"(3, 4, 10)",trunk,3
Ridge Regression,1.8976,5.3755,2.3152,0.1003,0.7113,0.6713,0.196,"(3, 4, 10)",trunk,3
Orthogonal Matching Pursuit,2.0147,5.8708,2.4204,0.0164,0.7398,0.7274,0.193,"(3, 4, 10)",trunk,3
AdaBoost Regressor,2.0161,5.6122,2.3662,0.0599,0.7668,0.8332,0.219,"(3, 4, 10)",trunk,3
Elastic Net,2.0275,5.8911,2.4248,0.013,0.743,0.7348,0.201,"(3, 4, 10)",trunk,3
K Neighbors Regressor,2.0292,6.3671,2.5214,-0.0706,0.7496,0.7398,0.194,"(3, 4, 10)",trunk,3
Lasso Regression,2.0472,5.9408,2.4351,0.0046,0.7473,0.7469,0.195,"(3, 4, 10)",trunk,3
Lasso Least Angle Regression,2.0472,5.9408,2.4351,0.0046,0.7473,0.7469,0.195,"(3, 4, 10)",trunk,3
Dummy Regressor,2.0655,6.0,2.4472,-0.0053,0.7512,0.7584,0.205,"(3, 4, 10)",trunk,3
Passive Aggressive Regressor,3.5694,20.4465,4.1722,-2.4435,1.0308,1.6963,0.199,"(3, 4, 10)",trunk,3
Least Angle Regression,49736.4738,44939899716.6066,67040.915,-6616514782.0221,1.9998,25992.0729,0.204,"(3, 4, 10)",trunk,3
Extra Trees Regressor,1.3791,3.3784,1.8367,0.4093,0.5824,0.482,0.275,"(3, 4, 12)",trunk,3
Light Gradient Boosting Machine,1.4367,3.6911,1.9194,0.3552,0.5977,0.5211,0.221,"(3, 4, 12)",trunk,3
Random Forest Regressor,1.4826,3.7973,1.9475,0.336,0.6147,0.5156,0.354,"(3, 4, 12)",trunk,3
Gradient Boosting Regressor,1.543,4.0128,2.0023,0.2989,0.6269,0.5366,0.283,"(3, 4, 12)",trunk,3
Huber Regressor,1.8133,5.6079,2.3662,0.023,0.6875,0.5859,0.199,"(3, 4, 12)",trunk,3
Linear Regression,1.841,5.3044,2.3022,0.0742,0.7031,0.6677,0.195,"(3, 4, 12)",trunk,3
Bayesian Ridge,1.8728,5.3865,2.3197,0.061,0.7141,0.676,0.197,"(3, 4, 12)",trunk,3
Ridge Regression,1.8735,5.3833,2.319,0.0616,0.7144,0.6762,0.196,"(3, 4, 12)",trunk,3
Orthogonal Matching Pursuit,1.9235,5.6278,2.3708,0.02,0.7274,0.7063,0.196,"(3, 4, 12)",trunk,3
K Neighbors Regressor,1.9249,6.0462,2.4565,-0.0538,0.7401,0.7258,0.193,"(3, 4, 12)",trunk,3
Elastic Net,1.9332,5.6411,2.3736,0.0177,0.729,0.7097,0.21,"(3, 4, 12)",trunk,3
Lasso Regression,1.9466,5.6756,2.3809,0.0116,0.732,0.7171,0.193,"(3, 4, 12)",trunk,3
Lasso Least Angle Regression,1.9466,5.6756,2.3809,0.0116,0.732,0.7171,0.195,"(3, 4, 12)",trunk,3
Dummy Regressor,1.9719,5.7681,2.4003,-0.0046,0.7381,0.7318,0.195,"(3, 4, 12)",trunk,3
AdaBoost Regressor,2.0005,5.5438,2.3531,0.0306,0.7715,0.8555,0.22,"(3, 4, 12)",trunk,3
Decision Tree Regressor,2.0171,8.2548,2.8666,-0.4401,0.8429,0.8023,0.21,"(3, 4, 12)",trunk,3
Least Angle Regression,3.0433,23.0488,3.9122,-3.1454,0.8812,1.3841,0.196,"(3, 4, 12)",trunk,3
Passive Aggressive Regressor,3.836,26.0614,4.604,-3.5174,1.0571,1.8323,0.202,"(3, 4, 12)",trunk,3
Extra Trees Regressor,1.3207,3.0961,1.7549,0.434,0.5581,0.4616,0.309,"(3, 4, 13)",trunk,3
Light Gradient Boosting Machine,1.3868,3.4187,1.8458,0.3734,0.572,0.5079,0.223,"(3, 4, 13)",trunk,3
Random Forest Regressor,1.4136,3.4836,1.8623,0.3623,0.5877,0.4873,0.364,"(3, 4, 13)",trunk,3
Gradient Boosting Regressor,1.4988,3.7741,1.9383,0.3098,0.6099,0.5174,0.302,"(3, 4, 13)",trunk,3
Huber Regressor,1.7832,5.1855,2.2731,0.051,0.6842,0.5794,0.256,"(3, 4, 13)",trunk,3
Linear Regression,1.7905,5.0118,2.2346,0.0829,0.696,0.6253,0.195,"(3, 4, 13)",trunk,3
Decision Tree Regressor,1.7905,6.8101,2.6011,-0.2493,0.7797,0.6905,0.252,"(3, 4, 13)",trunk,3
Bayesian Ridge,1.8088,5.049,2.2434,0.0752,0.7008,0.6277,0.194,"(3, 4, 13)",trunk,3
Ridge Regression,1.8113,5.0514,2.2439,0.075,0.7015,0.6293,0.211,"(3, 4, 13)",trunk,3
K Neighbors Regressor,1.8885,5.6981,2.3835,-0.0494,0.7268,0.7033,0.243,"(3, 4, 13)",trunk,3
Orthogonal Matching Pursuit,1.8905,5.3638,2.3113,0.0196,0.7177,0.6848,0.194,"(3, 4, 13)",trunk,3
AdaBoost Regressor,1.9003,5.1204,2.2605,0.0592,0.7434,0.7643,0.221,"(3, 4, 13)",trunk,3
Elastic Net,1.9018,5.3777,2.3144,0.0169,0.7194,0.6891,0.243,"(3, 4, 13)",trunk,3
Lasso Regression,1.918,5.4142,2.3224,0.0101,0.7226,0.6984,0.205,"(3, 4, 13)",trunk,3
Lasso Least Angle Regression,1.918,5.4142,2.3224,0.0101,0.7226,0.6984,0.242,"(3, 4, 13)",trunk,3
Dummy Regressor,1.9429,5.5,2.341,-0.006,0.7284,0.7128,0.246,"(3, 4, 13)",trunk,3
Passive Aggressive Regressor,2.293,8.1014,2.8217,-0.514,0.8353,0.9525,0.213,"(3, 4, 13)",trunk,3
Least Angle Regression,103.2663,59447.3654,130.577,-11176.6159,2.3576,49.0052,0.253,"(3, 4, 13)",trunk,3
Extra Trees Regressor,1.356,3.234,1.7957,0.4375,0.5755,0.4584,0.301,"(3, 4, 15)",trunk,3
Light Gradient Boosting Machine,1.3687,3.3485,1.8268,0.4181,0.5749,0.4926,0.23,"(3, 4, 15)",trunk,3
Random Forest Regressor,1.4244,3.5111,1.8707,0.3895,0.5953,0.4884,0.342,"(3, 4, 15)",trunk,3
Gradient Boosting Regressor,1.4871,3.7767,1.9402,0.3446,0.6112,0.5054,0.34,"(3, 4, 15)",trunk,3
Decision Tree Regressor,1.809,7.0038,2.6368,-0.2135,0.8162,0.6814,0.252,"(3, 4, 15)",trunk,3
Huber Regressor,1.8297,5.4002,2.3219,0.0609,0.6936,0.6034,0.202,"(3, 4, 15)",trunk,3
Linear Regression,1.833,5.208,2.2804,0.0944,0.7033,0.6597,0.256,"(3, 4, 15)",trunk,3
Bayesian Ridge,1.8587,5.2917,2.2984,0.0801,0.7138,0.6545,0.243,"(3, 4, 15)",trunk,3
Ridge Regression,1.8607,5.294,2.2989,0.0798,0.7143,0.6545,0.251,"(3, 4, 15)",trunk,3
K Neighbors Regressor,1.9153,5.8133,2.4089,-0.0112,0.7299,0.7243,0.268,"(3, 4, 15)",trunk,3
Orthogonal Matching Pursuit,1.9501,5.659,2.3772,0.0162,0.7331,0.7019,0.201,"(3, 4, 15)",trunk,3
